response_id,duration_in_seconds,finished,recorded_date,location_latitude,location_longitude,distribution_channel,user_language,consent_age,consent,age,gender,rv_screen,race,education,income,party_id,pid_lean,x2020_vote,need_for_cognition_1,need_for_cognition_2,need_for_cognition_3,x2024_horserace,x2024_horserace_7_text,x2024_horserace_push,x2024_horserace_push_6_text,favorabilities_1,favorabilities_2,favorabilities_3,favorabilities_4,ideology_1,ideology_2,ideology_3,ideology_4,ideology_5,ideology_6,ideology_7,social_support_1,social_support_2,social_support_3,social_support_4,social_support_5,social_support_6,social_support_7,econ_support_1,econ_support_2,econ_support_3,econ_support_4,econ_support_5,econ_support_6,econ_support_7,econ_support_8,econ_support_9,econ_support_10,foreign_support_1,foreign_support_2,foreign_support_3,foreign_support_4,foreign_support_5,foreign_support_6,foreign_support_7,foreign_support_8,social_party_support_1,social_party_support_2,social_party_support_3,social_party_support_4,social_party_support_5,social_party_support_6,social_party_support_7,econ_party_support_1,econ_party_support_2,econ_party_support_3,econ_party_support_4,econ_party_support_5,econ_party_support_6,econ_party_support_7,econ_party_support_8,econ_party_support_9,econ_party_support_10,foreign_party_suppor_1,foreign_party_suppor_2,foreign_party_suppor_3,foreign_party_suppor_4,foreign_party_suppor_5,foreign_party_suppor_6,foreign_party_suppor_7,foreign_party_suppor_8,senate_control,house_control,scotus_control,scotus_appointments,gerrymandering_def,ec_mechanics,amendment_mechanics,filibuster,scotus_bias,money_vs_ideology,npv,threat_max_diff_1,threat_max_diff_2,reform_max_diff_1,reform_max_diff_2,prolific_pid,study_id,session_id,reform_statement1,reform_statement2,reform_statement3,reform_statement4,threat_statement1,threat_statement2,threat_statement3,threat_statement4,q_straightlining_count,q_straightlining_percentage,q_straightlining_questions
1,47,1,2024-10-07,41,-73,anonymous,EN,1,2,1,1,4,4,5,1,3,3,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
2,195,1,2024-10-07,41,-73,anonymous,EN,1,2,1,1,1,4,3,1,1,NA,5,5,4,4,6,NA,1,NA,3,4,2,5,3,2,1,1,5,4,5,2,4,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,2,5,NA,4,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,4,2,NA,1,NA,NA,1,4,2,1,2,2,1,2,2,2,2,1,1,1,2,NA,NA,NA,"Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.","We need to implement participatory budgeting, a system where community members are empowered through civic engagement to suggest and vote on ideas for spending a portion of a state or locality’s budget.","It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.","We need to enact a universal voter ID law, requiring all Americans to show a valid ID before voting in any federal election. This ensures that only citizens are voting which guards against fraud, and ensures trust in the democratic process.",Right-wing extremism,Economic inequality,Extremism from both sides equally,Immigration bringing in new voters who don’t share American values,0,0,NA
3,359,1,2024-10-07,34,-118,anonymous,EN,1,2,1,1,4,3,3,2,3,3,5,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6559c3761dcc39ed7fe0cee5,66da270a6acf8cbd58dc85fe,670441cdc947a50be320109d,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
4,417,1,2024-10-07,41,-74,anonymous,EN,1,2,1,2,1,1,3,7,1,NA,5,2,5,4,8,NA,5,NA,4,5,3,3,4,7,7,2,4,1,4,1,4,1,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,2,NA,1,NA,NA,1,2,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,5,NA,2,NA,NA,2,NA,1,NA,NA,1,1,1,4,4,2,4,4,2,2,1,2,1,1,2,615060f31b8c06974a17ae76,66da270a6acf8cbd58dc85fe,670441ac30bd5ca1612cb348,"We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.","We need to switch to a ranked-choice voting system, where voters rank candidates in their order of preference. If no candidate has a majority of the votes in the first round, the candidate with the fewest votes has their votes reallocated to their supporters’ second choices, continuing until one candidate wins a majority. This eliminates the problem where third parties act as “spoilers” and lets voters better express their views.","We need to expand the number of justices in the Supreme Court. Right now, the unelected conservative majority on the Court is taking away people's rights and forcing extreme rulings on the country. New justices would restore balance to the Court’s rulings.","The biggest problem in politics is extremism, on both sides. Both parties have been captured by activists who are out of touch with the public and only want to push their own ideological agendas. Politicians need to be more moderate like most Americans are.",Lack of patriotism,Our democracy is not really under threat,Attempts to overturn elections,Voter ID laws,0,0,NA
5,453,1,2024-10-07,41,-74,anonymous,EN,1,2,2,2,1,1,5,5,3,1,4,2,4,4,8,NA,1,NA,4,5,3,5,3,1,7,1,4,7,5,NA,NA,1,2,2,NA,NA,5,NA,NA,NA,NA,NA,3,NA,5,NA,2,3,NA,NA,NA,NA,NA,3,NA,NA,1,3,1,NA,NA,1,NA,NA,NA,NA,NA,5,NA,2,NA,5,3,NA,NA,NA,NA,NA,2,2,2,2,3,4,4,4,4,3,1,1,1,2,1,1,65f7cca4d181f6f9f400f149,66da270a6acf8cbd58dc85fe,6704418d5d5e34d0b555b6af,"We need to switch to electing the president by national popular vote. The Electoral College is undemocratic — two of the last four presidents lost the popular vote, and the system lets candidates ignore over 80% of voters. It goes against America’s fundamental promise: government of, by, and for the people.","We need to restore the 1965 Voting Rights Act. Across the country, voting rights are under threat as politicians use voter suppression tactics to disenfranchise minority voters and violate their 15th Amendment right to vote.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We need to implement participatory budgeting, a system where community members are empowered through civic engagement to suggest and vote on ideas for spending a portion of a state or locality’s budget.",Partisanship,Election fraud,Attempts to overturn elections,Conservative judges,0,0,NA
6,475,1,2024-10-07,37,-82,anonymous,EN,1,2,2,1,1,1,2,5,1,NA,1,3,5,4,1,NA,NA,NA,4,4,1,1,5,1,1,1,4,5,3,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,4,1,NA,1,NA,NA,NA,3,NA,NA,3,NA,NA,4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,3,NA,NA,2,NA,NA,2,1,2,2,1,1,1,1,4,2,2,1,1,1,2,2,5f821f401a35f5337def5f24,66da270a6acf8cbd58dc85fe,670441994b214baa09ac0d15,"We need to get rid of voter ID laws. Data shows that voter fraud is exceedingly rare, and voter ID laws are mostly used to justify discrimination, disenfranchising some voters on the basis of skin color.","We need to switch to a ranked-choice voting system, where voters rank candidates in their order of preference. If no candidate has a majority of the votes in the first round, the candidate with the fewest votes has their votes reallocated to their supporters’ second choices, continuing until one candidate wins a majority. This eliminates the problem where third parties act as “spoilers” and lets voters better express their views.","We need new leadership. The leaders of both parties have been in office too long, and they’ve proven themselves either incapable of or unwilling to solve problems. It’s time for some fresh faces from a new generation.","These days Congress can’t get anything done. It is unable to fix pressing problems because of gridlock. We need a national referendum process where we allow Americans to directly vote up or down on proposed policies, which almost every state already allows.",Partisanship,Racism,Gerrymandering,Lack of patriotism,0,0,NA
7,281,1,2024-10-07,41,-74,anonymous,EN,1,2,2,2,1,1,5,3,1,NA,1,3,2,4,1,NA,NA,NA,4,4,2,2,4,1,1,2,5,4,4,NA,4,NA,2,NA,NA,4,NA,NA,1,NA,5,NA,NA,NA,2,NA,NA,4,NA,NA,3,NA,2,NA,NA,2,NA,1,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,1,NA,4,4,2,1,1,1,4,4,2,2,3,2,1,2,1,6508c9abf038076410e0a204,66da270a6acf8cbd58dc85fe,67044297a0080030a283565b,"It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We need to ban members of Congress from trading individual stocks and bonds. Members of Congress are already paid over $170,000 per year, almost triple the median income. Elected officials should serve the public interest — not enrich themselves with insider trading.",The problem with our politics is the two-party duopoly that robs voters of a real choice. Independents are the fastest-growing group of voters because Americans are fed up with the existing options. We need a third party that can represent them.,Immigration bringing in new voters who don’t share American values,Our democracy is not really under threat,Conservative judges,Racism,1,0.1111111111111111,QID55
8,588,1,2024-10-07,30,-98,anonymous,EN,1,2,2,1,1,1,3,1,1,NA,1,4,3,4,1,NA,NA,NA,4,4,2,2,5,1,1,1,2,2,2,1,NA,NA,NA,3,NA,4,NA,4,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,3,NA,NA,NA,4,1,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,4,NA,NA,4,4,NA,NA,2,NA,NA,NA,2,2,2,2,4,1,1,1,3,2,2,1,1,2,1,1,5fa1d163e5f865369dd23d70,66da270a6acf8cbd58dc85fe,670441a28e58a46c70a36f01,"We need to overturn Citizens United, a 2010 Supreme Court case that struck down campaign contribution limits for corporations. The wealthy have too much influence in politics, and corporations making unlimited donations to candidates is just legalized corruption.","These days Congress can’t get anything done. It is unable to fix pressing problems because of gridlock. We need a national referendum process where we allow Americans to directly vote up or down on proposed policies, which almost every state already allows.","We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.","Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.",The Electoral College,Immigration bringing in new voters who don’t share American values,Economic inequality,Influence of wealthy donors,0,0,NA
9,472,1,2024-10-07,44,-71,anonymous,EN,1,2,2,2,1,1,6,5,3,3,2,4,4,4,8,NA,1,NA,4,3,3,3,3,1,1,1,2,2,2,NA,4,NA,5,NA,NA,3,NA,NA,5,NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,3,NA,2,NA,3,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,2,1,4,4,2,4,2,1,2,2,2,1,1,1,2,2,6282f8e50c0f4e2a1230e718,66da270a6acf8cbd58dc85fe,6704423298e02f5aef3bf73a,"The problem with our politics is that primary elections are decided by a minority of ideologically extreme partisans. Instead, we should have all candidates run in the same primary, regardless of party affiliation, and then have a runoff between the top two. This will lead to more moderate politicians.","We need to switch to electing the president by national popular vote. The Electoral College is undemocratic — two of the last four presidents lost the popular vote, and the system lets candidates ignore over 80% of voters. It goes against America’s fundamental promise: government of, by, and for the people.","We need to restore the 1965 Voting Rights Act. Across the country, voting rights are under threat as politicians use voter suppression tactics to disenfranchise minority voters and violate their 15th Amendment right to vote.","It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.",Lack of patriotism,Our democracy is not really under threat,Extremism from both sides equally,Partisanship,2,0.2222222222222222,"QID15,QID55"
10,458,1,2024-10-07,38,-98,anonymous,EN,1,2,2,2,1,2,5,6,3,3,1,5,5,4,2,NA,NA,NA,1,5,3,4,3,1,4,3,4,3,2,1,4,NA,NA,NA,4,NA,NA,4,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,5,1,1,1,NA,NA,NA,2,NA,NA,2,4,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,1,2,1,1,2,1,3,3,1,1,1,1,1,1,1,1,1,66fc65f4a1893f31f9ad7c08,66da270a6acf8cbd58dc85fe,6704423d75fa47007c8dacaa,"It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.","The problem with our politics is that primary elections are decided by a minority of ideologically extreme partisans. Instead, we should have all candidates run in the same primary, regardless of party affiliation, and then have a runoff between the top two. This will lead to more moderate politicians.","We should only use paper ballots for our elections. Right now, some states use electronic voting machines, where election results can be manipulated. Paper ballots are safe from hacking and can be hand-counted, reducing fraud.","As a country, we need to lower the temperature on both sides. Rhetoric painting the other side as a threat to our country or democracy is fanning the flames of division — and all too often, fueling political violence.",Racism,Lack of patriotism,Attempts to overturn elections,Conservative judges,0,0,NA
